dataset,split,feature,num_images,spearman_corr_with_grade,pearson_corr_with_grade,mean_grade_0,mean_grade_4,grade_4_minus_grade_0
APTOS2019,ALL,soft_exudates_area_ratio,3662,0.37183791580002173,0.3560071125615286,0.0005087305634305557,0.0029106010824946735,0.0024018705190641176
APTOS2019,ALL,microaneurysms_prob_mean,3662,0.13117030382647357,0.031030749710868374,0.014486808459844598,0.014865422652939598,0.0003786141930949994
APTOS2019,ALL,haemorrhages_prob_mean,3662,0.5627053117095502,0.42529395231568984,0.003902912932419669,0.013136660042455612,0.009233747110035943
APTOS2019,ALL,hard_exudates_prob_mean,3662,0.6743870909465074,0.4257606721185767,0.00613441572955437,0.013682969950013217,0.007548554220458847
APTOS2019,ALL,soft_exudates_prob_mean,3662,0.23482366186883377,0.281889591637275,0.023755423844355954,0.027122937218617586,0.003367513374261631
APTOS2019,ALL,microaneurysms_component_count,3662,0.6689477906205774,0.5948647390304241,7.4659279778393355,45.498305084745766,38.03237710690643
APTOS2019,ALL,haemorrhages_component_count,3662,0.6705474309217234,0.6003133137905287,3.504709141274238,20.688135593220338,17.1834264519461
APTOS2019,ALL,hard_exudates_component_count,3662,0.7284717614264193,0.5249975581330383,3.846537396121884,39.715254237288136,35.868716841166254
APTOS2019,ALL,soft_exudates_component_count,3662,0.28108533456675766,0.31399153219746295,2.9074792243767313,8.457627118644067,5.550147894267337
APTOS2019,ALL,lesion_presence_count,3662,0.34943398391315633,0.3275281521342999,3.4310249307479226,3.9016949152542373,0.4706699845063147
IDRiD,ALL,total_lesion_union_area_ratio,516,0.7513111416254529,0.4887080026773291,0.001441864740280856,0.025911761868384536,0.02446989712810368
IDRiD,ALL,total_lesion_sum_area_ratio,516,0.7571212486681768,0.503358860264874,0.001560597192673432,0.028449827624905458,0.026889230432232025
IDRiD,ALL,microaneurysms_area_ratio,516,0.7861757635094478,0.5641234188248192,0.00012845084780737113,0.002587164601971987,0.0024587137541646157
IDRiD,ALL,haemorrhages_area_ratio,516,0.7730127922034516,0.39335552655983297,0.0008378483000255612,0.01724077040149316,0.0164029221014676
IDRiD,ALL,hard_exudates_area_ratio,516,0.5905971384553538,0.30668518141303397,0.00038069770449682995,0.006841413436397404,0.006460715731900574
IDRiD,ALL,soft_exudates_area_ratio,516,0.5002886951127176,0.31509536744000227,0.00021360034034365133,0.001780479185042815,0.0015668788446991638
IDRiD,ALL,microaneurysms_prob_mean,516,0.6040446162696961,0.4552108303114109,0.014434178670247374,0.01618576049804686,0.0017515818277994873
IDRiD,ALL,haemorrhages_prob_mean,516,0.753538801684656,0.3895597767753398,0.0038822378431047303,0.019428222410140483,0.015545984567035752
IDRiD,ALL,hard_exudates_prob_mean,516,0.6175734346477715,0.32430397162555913,0.006264345986502475,0.013639080908990645,0.007374734922488169
IDRiD,ALL,soft_exudates_prob_mean,516,0.6000958819822301,0.3990576324268454,0.02235367184593564,0.025380534510458668,0.0030268626645230286
IDRiD,ALL,microaneurysms_component_count,516,0.7824097987412626,0.5646635341938185,4.25,65.96774193548387,61.71774193548387
IDRiD,ALL,haemorrhages_component_count,516,0.7800483335505165,0.6296411476764221,2.0654761904761907,28.193548387096776,26.128072196620586
